,genre,artists
22236,garage,Los Chijuas
22237,garage,Pandamic
22238,dance,Bebe Rexha;Lil Uzi Vert
22239,garage,No Buses
22240,dance,Bebe Rexha;Kranium
22241,garage,Davila 666
22242,garage,Israeli Chicks
22243,funk,DENNIS;Jorge
22244,funk,Mainstreet;Azevedo;PL Quest;Orochi;Shenlong;Kizzy
22245,funk,MC Roger
22246,funk,DJ Ramonstro;SÓ MEGA FUNK;Mc Leléto
22247,funk,Marina Sena
22248,funk,DENNIS;Matheus & Kauan
22249,funk,Gabb MC;MC Lemos;Mc Vitão Do Savoy;MC Harry;Love Funk
22250,funk,Mc Anjim;MC Rick;MC Saci;MC Braian;Mc Morena;Dj Nattan;Dj Tg Da Inestan;Gui Marques
22251,funk,Mc Davi;MC Hariel
22252,funk,Vulgo FK;Nagalli;MATHINVOKER
22253,funk,WC no Beat;LUDMILLA;Vitão
22254,funk,Snoop Dogg;David Guetta;Giorgio Tuinfort;Frederic Riesterer
22255,funk,Coolio
22256,funk,MC Hariel;Caio Passos
22257,funk,MC Neguinho BDP
22258,dance,Selena Gomez;A$AP Rocky
22259,funk,Menor MC;DJ Matt D;Rincon Sapiência
22260,dance,Madonna;Sickick
22261,funk,Mc Lele JP;MC Marks;Dj Betinho;WR OFICIAL
22262,funk,DJ DN;MC Torugo
22263,funk,MC Tuto;DJ Gu;MC JSP;MC André DK
22264,funk,N.I.N.A
22265,funk,Mc Kauan
22266,funk,MC Teteu;JC NO BEAT;DJ F7
22267,funk,MC Meno K;Ricky Ribeiro;DJ Kelwin Lopes
22268,funk,Mc Th;La Furia
22269,funk,JS o Mão de Ouro;Avine Vinny;Mc DLL;Mc Neto
22270,funk,Mc Jhojhow
22271,funk,2Pac;Snoop Dogg
22272,funk,MC Mazzie;DJ NpcSize;DJ Wizard
22273,funk,Mc Kadu;Dj Nene
22274,dance,Little Mix
22275,dance,Jason Derulo;Snoop Dogg
22276,funk,Menor MC
22277,funk,DJ BRUNO PRADO
22278,funk,BIN;Azevedo;Mainstreet;Kizzy
22279,funk,Dj Guuga;Biu do Piseiro;MC Myres
22280,dance,Nicki Minaj;Lil Wayne
22281,funk,MC Cabelinho;DJ Meek;Davi;Luan;Juninho
22282,funk,DJ Matt D;Menor MC;MC Kevin o Chris;Mc Marcela GC;Helamã MC;Mc negrone;MC Julio D.E.R.;Mc Lele JP;MC Leozinho ZS
22283,funk,Mc Lele JP;MC Leozinho ZS;Mc DR
22284,funk,Mc Kadu;MC Leozinho ZS;Kotim;Mc Lele JP;Love Funk
22285,funk,MC Guto VGS;MC Pê Original;DJ Roca;DJ Andrômeda
22286,funk,Goldy;Karan Aujla
22287,funk,Mc Kaverinha;DJ Biel Bolado
22288,funk,MC Hariel;Mc Lele JP;MC Neguinho do Kaxeta
22289,funk,Mc Kadu;Mc Romeo;Kotim;Mc Lele JP;Mc Dena;Love Funk
22290,funk,Manu Gavassi
22291,funk,Mc Kelvinho;MC Menor da VG;Mc Ruzika;Dj Nene
22292,funk,Dj GM;MC Liro;MC Leozinho ZS;Love Funk;Mc Piedro;MC Lemos
22293,funk,GORDÃO DO PC;DJ 2K DO TAQUARIL;MC Garoto;MC MK DA ZL;Mc Leozin
22294,funk,MC Neguinho do Kaxeta;MC Marks
22295,funk,MC Paulin da Capital;Dj GM
22296,funk,Mc Roginho;Raphaela Santos
22297,funk,Dj Victor;Mc Kadu;MC Ryan SP;MC Cebezinho;Mc Jean;Mc Kanhoto;Mc Daniel
22298,funk,Dj Victor;Kyan;KayBlack;Mc Kelvinho;Mc IG
22299,funk,MC Iguinho da Capital;DJ RF3
22300,funk,Mc Davi;Costa Gold
22301,funk,Mc Orelha
22302,funk,Mc Magal;Mc Kako;MC Murilo MT;MC Leozinho ZS;MC Neguinho do Kaxeta
22303,funk,DJ GH7;Mc Gw
22304,funk,slipmami;Leo Justi;AG Beatz
22305,funk,Tz da Coronel;Sagat
22306,funk,DJ Jeeh FDC;MC Meno Dani;MC Ryan GF;Yuri Redicopa
22307,funk,Mc IG;Mc Luki;Dj Luizinho MPC;Mc Charmosinho;Mc Neguin da BRC;MC Neguinho BDP
22308,funk,MC Guto VGS;MC Pê Original;MC Neguinho R;DJ Andrômeda
22309,funk,Mc Don Juan;Luíza & Maurílio
22310,dance,Why Don't We
22311,funk,MC Arraia;DJ Guih Da ZO
22312,funk,MC Vinny;Mc Lele JP;Mc Kako;MC Lemos;Dj GM;Oldilla
22313,funk,Mc Davi;MC Kapela
22314,funk,DJ Blakes;DJ VST;MC Gedai
22315,funk,MC BN;MC Guto VGS;DJ K2;DJ FUMINHO
22316,funk,MC BN;Mc Delux;DJ K2;DJ FUMINHO
22317,funk,MC BN;Mc Kitinho;DJ Kley;Jeff
22318,funk,MC Hariel;Filipe Ret;Pedro Lotto
22319,funk,MC Tuto;Mc Kako
22320,funk,MC Maneirinho;PL Quest;Boricceli;Mainstreet
22321,funk,MC Cabelinho;Filipe Ret;Dallass
22322,funk,MC Luan da BS;Mc Anjim
22323,funk,NobruDJ
22324,funk,MC GP;Mc Ruzika;Dj Victor
22325,funk,Mc Delux;DJ TS;Dj Guuh
22326,funk,MC Joãozinho VT
22327,funk,DJ HG MLK É BRABO
22328,funk,Mc Bruninho da Praia;DJ Oreia
22329,funk,Mc DB
22330,funk,DJ IZEUS;DJ AG PROD;Mc Th
22331,funk,AcesToAces
22332,funk,Pregador Luo;Templo Soul
22333,funk,MC RN do Capão;MC GH MAGRÃO
22334,funk,Mc Davi;MC Leozinho ZS;DJ BOY
22335,funk,Furacão 2000;MC Marcinho
22336,funk,Mc Kevin;Mc Bruninho da Praia;Mc Dena;Mc Magal;Logri;Aires 085;Kawe;Mc IG;Mariah Denaro;Mc Don Juan;DJ Oreia
22337,funk,Salvador Da Rima;Mc Kadu;Dj Victor
22338,funk,MC GP;Caio Passos
22339,funk,Open Farra;Guilherme & Benuto
22340,funk,MC Rodolfinho;Mc Danado;MC Guime;MC Lon;Mc Nego Blue;Mc Boy do Charmes;Mc B.o;DJ Will SP
22341,funk,Mc Tikão;MC Maneirinho;JR ON
22342,funk,Dj GM;Mc Lele JP;Love Funk
22343,funk,Mc Nathan ZK;Mc Lipi
22344,funk,Mc Gw;DJ NEGRESKO;Igor vilão
22345,funk,Mc Lipi;Kell Smith
22346,funk,MC Caja;Mc Gibi
22347,funk,N.I.N.A;Terra;Kash
22348,funk,MC Maneirinho;AJ Wav
22349,funk,DJ Cayoo;MC Rodrigo do CN
22350,funk,BIN
22351,funk,MC Kevin o Chris
22352,funk,MC Ryan SP;MC Hariel
22353,funk,DJ FERRAZ
22354,funk,Mc Kadu
22355,funk,DENNIS;Ferrugem
22356,funk,DJ PATRICK ZS;MC Caja
22357,funk,MC Neguinho do Kaxeta;Mc Davi;Mc Pedrinho;MC Ryan SP
22358,funk,MC Marks;Mc Davi;Mc Don Juan
22359,funk,MC Hariel;MARIAH;Beatriz Denaro
22360,funk,Dfideliz;Celo1st
22361,funk,Anderson Neiff;John Johnis
22362,funk,The Rah Band
22363,funk,MC Iguinho da Capital
22364,funk,Meno Tody;Mc Kevin
22365,funk,MC CH da Z.O;Bala da Tropa;Milly Explosão;DN do Recife
22366,funk,Mc Kanhoto;MC Cassiano;Mc Xang;DJ Faveliano
22367,funk,Dj Victor;Mc Kadu;MC GP;MC Menor da VG;MC Joãozinho VT;Mc Lele JP;Mc IG;MC Ryan SP;MC Cebezinho
22368,funk,Mc Kautry;DJ Guh Mix
22369,funk,MC Paulin da Capital;Dj GM;Oldilla
22370,funk,Mc Kevin;MC Ryan SP;MC GP;Mc Lele JP;Mc IG;Dj Nene
22371,funk,Mc Kadu;Mc Lele JP;Dj Victor;MC Bruno MS
22372,funk,KayBlack;Froid
22373,funk,MC Tinho da Sul;Dj Chaves
22374,funk,MC Ryan SP;Mc Danny;DG e Batidão Stronda
22375,funk,Clean Bandit;Ellie Goulding
22376,funk,Dj Ray Lais;Mc Dricka
22377,funk,Mc Frog;Mc DB;Mc Laranjinha;Mc Junior Pk
22378,funk,Dj Batata;Mc Nego Blue
22379,funk,MC Saci;GORDÃO DO PC;DJ TH DO PRIMEIRO
22380,funk,Mc Kevin;Mc Vk
22381,funk,DJ Rafinha Dz7;Mc Nauan;DJ Tenebroso;DJ WIZARD;DJ Magrones
22382,funk,BIN;WillsBife
22383,funk,Mc Gw;DJ Biel Beats;Mc Topre
22384,funk,MC Kapela
22385,funk,Dj Yuri
22386,funk,MC Kevin o Chris;Dj Juninho 22
22387,funk,Mc Magal
22388,funk,MC Saci
22389,dance,Hailee Steinfeld;BloodPop®
22390,funk,Igão;Kyan;Nagalli;Bvga;Toledo
22391,funk,Dj GM;MC Vinny;Mc Kanhoto;Love Funk;MC Lemos;Gabb MC
22392,funk,Mc Davi;Mc Don Juan;MC Ryan SP;Perera DJ;DJ Swat
22393,french,Lilly Wood and The Prick
22394,dancehall,Tiwa Savage;Amaarae
22395,garage,Los Shadows
22396,forro,Edy e Nathan;Raí Saia Rodada
22397,dancehall,El Shaaki;Ley 20mil
22398,dancehall,Degree
22399,dancehall,Shamanes Crew;Maxi Vargas
22400,forro,Maciel Melo
22401,forro,Limão Com Mel;Vitor Fernandes
22402,dancehall,Juancho Style
22403,dancehall,Sanchez;Pietkun;Gav Easby
22404,dancehall,Sean Paul;Jhené Aiko
22405,dancehall,SPINALL;Asake
22406,forro,Pablo;Solange Almeida
22407,forro,Toca do Vale & Balanço do Forró
22408,dancehall,Tiwa Savage;Zinoleesky
22409,forro,Rafinha o Big Love;Thiago Aquino
22410,forro,Banda Cascavel
22411,forro,Guilherme Dantas;Manim Vaqueiro
22412,forro,John Amplificado;Vitor e Luan
22413,dancehall,Jony Roy;Ciju Bless
22414,forro,Tayrone;Gustavo Mioto
22415,dancehall,Filip Mota;Saint's Búho
22416,forro,Os Parazim;Lucas Reis & Tácio
22417,forro,Thales Lessa;Humberto & Ronaldo
22418,forro,Luan Estilizado;Jerry Smith
22419,forro,Circuito Musical
22420,forro,Chicão do Piseiro;Jonatas Campeão
22421,dancehall,Flavour;Diamond Platnumz
22422,forro,Forró Perfeito
22423,forro,Vilões do Forró e Karkará;César Araújo
22424,forro,Forró dos Plays
22425,forro,Vitor Fernandes;Maiara & Maraisa
22426,dancehall,Laa Lee;Cristale
22427,dancehall,Sean Paul;Sasha
22428,dancehall,Lion Fiah;Saybor;La Corte Music
22429,forro,Márcia Fellipe;Os Barões Da Pisadinha;Vitor Fernandes;Victor Meira;Zeca Bota Bom;Zé Vaqueiro
22430,forro,Renno;Tarcísio do Acordeon
22431,dancehall,Ajebutter22
22432,forro,Zé Vaqueiro;Dilsinho
22433,forro,Cleber & Cauan
22434,dancehall,Roze Don;Aalvero;Marksman
22435,forro,Pablo;Tierry
22436,forro,Taty Girl;Wesley Safadão
22437,forro,Japãozin;Mc Morena
22438,forro,Luan Estilizado;Japãozin
22439,forro,Desejo De Menina;Yara Tchê
22440,forro,Israel Novaes;Paulo Pires
22441,forro,Biu do Piseiro;Pedrinho Pisadinha
22442,dancehall,Kaliffa;Syster Sol
22443,dancehall,Shamanes Crew;DJ Acres
22444,dancehall,Ycee
22445,forro,Jorge De Altinho
22446,forro,Carta de Baralho
22447,forro,Zé Vaqueiro;Vitor Fernandes
22448,dancehall,Protoje;Jorja Smith
22449,dancehall,Sean Paul;Stefflon Don
22450,dancehall,Gappy Ranks
22451,dancehall,Shenseea;Megan Thee Stallion
22452,forro,Turma da Pisadinha;Anderson & Vei da Pisadinha
22453,forro,Danieze Santiago;Devinho Novaes
22454,dancehall,J Capri;Charly Black
22455,dancehall,P-Square;Don Jazzy
22456,dancehall,Mr Eazi;DJ Tarico;Joey B
22457,dancehall,T.O.K;Arif Cooper
22458,dancehall,Jahyanai
22459,forro,Forró Saborear
22460,dancehall,Ice Prince;CKay
22461,forro,Caninana;João Gomes
22462,forro,Frank Aguiar
22463,dancehall,450
22464,dancehall,Fuse ODG;Tiffany Owusu
22465,forro,Priscila Senna;NATTAN
22466,forro,Dorgival Dantas;Bell Marques
22467,dancehall,Burna Boy;Don Jazzy
22468,dancehall,Wizkid;Damian Marley
22469,forro,Manim Vaqueiro;NATTAN
22470,forro,Waldonys
22471,forro,Humberto & Ronaldo;Jorge & Mateus
22472,forro,Trio Sabiá
22473,forro,Mulheres Perdidas
22474,forro,Max e Luan;Netto
22475,forro,Manim Vaqueiro;Raí Saia Rodada
22476,forro,Léo Magalhães;João Neto & Frederico
22477,dancehall,Digital Dread
22478,dancehall,Shamanes Crew;Morodo
22479,forro,Humberto & Ronaldo;Humberto Júnior
22480,forro,Caninana;Tarcísio do Acordeon
22481,forro,Kevi Jonny;Unha Pintada
22482,forro,Banda Styllus
22483,forro,Avine Vinny
22484,forro,Nêgo Jhá
22485,forro,Limão Com Mel;Taty Girl
22486,forro,Painel de Controle
22487,forro,Cavaleiros do Forró;Eric Land
22488,forro,Aviões do Forró;Caviar Com Rapadura
22489,forro,Israell Muniz;Wesley Safadão
22490,forro,Vitor Fernandes;Wesley Safadão
22491,forro,Edyr Vaqueiro
22492,forro,Limão Com Mel;Tarcísio do Acordeon
22493,forro,Furacão do Forró
22494,forro,Dorgival Dantas;Cícero Dantas
22495,forro,Biu do Piseiro;mc jhenny
22496,dancehall,Burna Boy;J Balvin
22497,forro,Lambasaia
22498,forro,Avine Vinny;Japinha Conde
22499,forro,Banda Magníficos;Priscila Senna
22500,dancehall,Escala Mercalli;MC Piri
22501,forro,Raí Saia Rodada;Breno & Caio Cesar
22502,forro,Forró Ideal;Aldair Playboy
22503,forro,Peixelétrico
22504,forro,Os Parazim;Dj Guuga
22505,forro,Dorgival Dantas;Gusttavo Lima
22506,forro,Wallas Arrais;Gusttavo Lima
22507,forro,Petrúcio Amorim;Jorge De Altinho
22508,dancehall,Escala Mercalli;Maxi Vargas
22509,forro,Alemão Do Forró;Os Gargantas De Ouro
22510,forro,Tayara Andreza
22511,forro,Louro Santos & Forró da Malagueta
22512,forro,Gatinha Manhosa
22513,forro,Léo Magalhães;Eduardo Costa
22514,dancehall,Myssa More;BLACKGRAPES
22515,forro,Bonde do gato preto;O Tubarão
22516,forro,Solange Almeida;Wesley Safadão
22517,forro,Brisa Star;Priscila Senna
22518,forro,Japãozin;Mc Danny
22519,forro,Israel Novaes;Jefferson Moraes
22520,forro,Renanzin Pressão;Mc Andynho Ramos
22521,forro,Zé Cantor;Avine Vinny
22522,forro,Vitor Fernandes;Unha Pintada
22523,forro,Gleydson Gavião;Os Barões Da Pisadinha
22524,forro,Gleydson Gavião;Wesley Safadão
22525,forro,Alemão Do Forró;Soró Silva
22526,dancehall,Skales
22527,forro,Rasta Chinela;Cleber Camargo
22528,dancehall,Iyanya;Davido;Kizz Daniel
22529,forro,Israel Novaes
22530,forro,Capital Do Sol
22531,forro,Weliton O Gordinho;Thiago Aquino
22532,forro,Chicão do Piseiro
22533,dancehall,Wizkid;Drake
22534,forro,Tayrone;Leo Santana
22535,dancehall,Wizkid;Tay Iwar;Projexx
22536,forro,Victor Meira;Anderson & Vei da Pisadinha
22537,dancehall,Sean Paul;DJ Laszlo
22538,forro,Israel Novaes;MC Teteu
22539,dancehall,Falz;Chike
22540,forro,Alemão Do Forró;Gino & Geno
22541,forro,Cavaleiros do Forró;Henrique
22542,forro,Cavaleiros do Forró;Mara Pavanelly
22543,forro,Cavaleiros do Forró;Inácio;Elisa
22544,dancehall,Afro B;T-Pain
22545,dancehall,Ayo Jay;Chris Brown;Kid Ink
22546,french,The Avener;Kadebostany
22547,dancehall,Medina;Alex D'Rosso
22548,folk,Sardool Sikander
22549,folk,Salim–Sulaiman;Armaan Malik
22550,folk,Kailash Kher;Sukanya Purayastha
22551,folk,Grupo Callado
22552,folk,Lights
22553,dancehall,Shamanes Crew;Los Auténticos Decadentes
22554,folk,Ready Kirken
22555,dancehall,Eugy
22556,folk,Salim–Sulaiman;KK;Shweta Pandit;Anvita Dutt Guptan
22557,folk,Papon;Nandini Srikar
22558,folk,Kabir Cafe;Shekhar Ravjiani
22559,folk,Papon;Shruti Rane
22560,folk,Salim–Sulaiman;Vijay Prakash;Anshuman Sharma
22561,folk,Divya Kumar;Pragati Joshi;Arohi Mhatre
22562,folk,Hari & Sukhmani;The Coconut Kids
22563,folk,Divya Kumar;Priya Saraiya;Ishani Dave;Jigardhan Gadhvi
22564,folk,Nusrat Fateh Ali Khan;Udit Narayan;Anuradha Paudwal
22565,folk,Mercedes Sosa;Charly García
22566,folk,Sergio Galleguillo Y Los Amigos
22567,folk,Campedrinos;Sergio Galleguillo
22568,dancehall,Malie Donn;Moonskull;Harlem Richard$
22569,folk,Destino San Javier
22570,folk,Chico Teixeira
22571,folk,Nosstress
22572,folk,John Vincent III
22573,folk,Narinder Biba;K.S.Agnihotri
22574,folk,Kailash Kher;Naresh Kamath;Paresh Kamath
22575,folk,Maati Baani
22576,folk,Sanam Marvi;Rahat Fateh Ali Khan
22577,dancehall,Lady G
22578,dancehall,Goldn.B;Warren
22579,dancehall,Hawkeye
22580,dancehall,Syster Sol;Partillo
22581,dancehall,Cestar;Quique Neira
22582,folk,Indian Ocean;Karsh Kale
22583,dancehall,Sean Paul;Tory Lanez
22584,forro,Limão Com Mel;Wesley Safadão
22585,folk,Divya Kumar;Anurag Saikia
22586,folk,Divya Kumar;Shruti Pathak
22587,folk,Divya Kumar;Raghav Sachar
22588,folk,Salim–Sulaiman;Shruti Pathak;Kareena Kapoor
22589,folk,Kalpana Patowary
22590,folk,Vancouver Sleep Clinic;Amelia Magdalena
22591,folk,RY X
22592,folk,Bear's Den
22593,dancehall,Million Stylez
22594,folk,The Oh Hellos
22595,folk,Lobo
22596,folk,Chico Teixeira;Almir Sater
22597,dancehall,Stylo G;Sean Paul;Spice
22598,folk,Nusrat Fateh Ali Khan;Qawwali
22599,folk,Dave Thomas Junior
22600,folk,Papon;Hopun Saikia
22601,folk,Rahi
22602,folk,Parthiv Gohil;Jahnvi Shrimankar
22603,folk,Mercedes Sosa;Ariel Ramírez;Hector Zeoli
22604,folk,Fort Atlantic
22605,folk,Coro Chile Canta
22606,dancehall,DJ Neptune;Joeboy;Mr Eazi
22607,dancehall,P-Square;Akon;May D
22608,folk,Salim–Sulaiman;Aditi Singh Sharma
22609,folk,Imaginary Future;Kina Grannis
22610,dancehall,Olamide;Bad Boy Timz
22611,folk,Joseph & Maia
22612,folk,Papon;Anurag Saikia
22613,folk,Alif;Noor Mohammad
22614,dancehall,Peruzzi;Fireboy DML
22615,dancehall,NSG;MHD
22616,folk,Néstor Ló y Los Caminantes
22617,folk,Raghu Dixit;Lakshmi Manmohan
22618,dancehall,Kranium;Ty Dolla $ign;Wizkid
22619,folk,Kailash Kher;Vishnupriya Ravi
22620,folk,Kalle Moraeus;Orsa Spelmän
22621,dancehall,Motto;Lyrikal
22622,folk,Jome
22623,forro,Vitor Fernandes;NATTAN
22624,forro,Kevi Jonny;Tierry
22625,folk,Luis Mosqueda y los Roller's
22626,folk,hiperkarma
22627,folk,Antonio Tarragó Ros
22628,folk,Son Mieux
22629,folk,SKÁLD
22630,folk,Soledad
22631,folk,Pomplamoose
22632,dancehall,Sean Paul;Chi Ching Ching
22633,folk,Lissom;Julien Marchal;Lowswimmer
22634,dancehall,NSG;Giggs
22635,folk,Guil
22636,folk,3x7 Veintiuna
22637,folk,Raly Barrionuevo
22638,folk,Nahuel Pennisi
22639,dancehall,Ajebutter22;Mayorkun
22640,forro,Vitor Fernandes;Tarcísio do Acordeon
22641,folk,Hurricane
22642,dancehall,Mr Eazi;Falz;Major League Djz;DJ Tarico;Joey B
22643,forro,Yury Pressão
22644,forro,Os Barões Da Pisadinha;Wesley Safadão
22645,forro,Limão Com Mel;NATTAN
22646,dancehall,Sean Paul;Beyoncé
22647,dancehall,Fireboy DML;Rema
22648,dancehall,Syster Sol;Ivory
22649,dancehall,Jeepstarr
22650,dancehall,S.A. Finest
22651,forro,Marcynho Sensação;Mari Fernandez
22652,dancehall,Escala Mercalli;Bubaseta
22653,dancehall,R2Bees;Burna Boy
22654,dancehall,R2Bees
22655,dancehall,JuanchitoSaico
22656,dancehall,Shamanes Crew;Jimmy Rivas;Panthy;Sativanderground;Maxi Vargas;Efe Frans;Filip Mota;Vanessa Valdez
22657,dancehall,Afro B;French Montana
22658,folk,Grupo Ternura
22659,folk,Facundo Toro
22660,folk,Didar Sandhu;Snehlata
22661,dancehall,Kranium;Queen Naija
22662,folk,Salim–Sulaiman;Pawandeep Rajan;Muheet Bharti
22663,folk,Salim–Sulaiman;Pawandeep Rajan
22664,folk,Argentino Luna
22665,dancehall,D'yani;Weekday
22666,folk,Miguel Rosa;Victor Pradella
22667,dancehall,Burna Boy;Ladysmith Black Mambazo
22668,folk,Divya Kumar;Enbee;Jasleen Royal
22669,folk,Kailash Kher;Chethan
22670,folk,Tom Walker;Zoe Wees
22671,folk,Lord Huron;Allison Ponthier
22672,folk,Axel Flóvent
22673,folk,The Paper Kites;Lucy Rose
22674,folk,Sardool Sikander;Amar Noorie
22675,folk,Nancy Sinatra
22676,folk,Salim–Sulaiman;Sukhwinder Singh;Kailash Kher;Marianne D'cruz Aiman
22677,folk,Mame Khan;Shankar Mahadevan
22678,folk,OMNIA
22679,folk,Kailash Kher;Brijesh Shandilya
22680,folk,Tomo
22681,dancehall,Boy Boy
22682,folk,Hayden Calnin
22683,folk,Papon;Gautam Gulati;Shivaleeka Oberoi
22684,folk,Tom Walker;Masked Wolf
22685,folk,Papon;Deepanshu Ruhela
22686,folk,Satwant Kaur;Kudrat Kaur
22687,folk,Rangle Sardar;When Chai Met Toast
22688,folk,Fink
22689,folk,Conjunto Ivoti
22690,folk,Mirtha Iturra
22691,dancehall,Konshens;Chris Brown
22692,folk,Los Perlas
22693,folk,Madison Cunningham
22694,folk,Basiani Ensemble
22695,forro,Weliton O Gordinho
22696,forro,Psirico;Filipe Escandurras
22697,forro,Bonde do gato preto;Mc Kaio
22698,dancehall,Wizkid;BNXN fka Buju
22699,french,Laurent Voulzy;Véronique Jannot
22700,french,Téléphone
22701,french,Zuukou mayzie;Vickie Cherie
22702,french,Rasta Bigoud
22703,french,Zkr
22704,dancehall,Sean Paul;Major Lazer
22705,dancehall,Burna Boy;Polo G
22706,french,Alpha Wann
22707,french,Lujipeka;Cerrone
22708,french,Guillaume Grand
22709,dancehall,Wizkid;Burna Boy
22710,dancehall,Ishawna;Ed Sheeran
22711,french,Bon Entendeur;Isabelle Pierre
22712,french,Teho
22713,french,M83;Anthony Gonzalez;Joseph Trapanese
22714,french,Dub Inc
22715,french,Gérard Lenorman
22716,french,Soolking;Reynmen
22717,french,The Blaze;Octavian
22718,french,Biga*Ranx
22719,dancehall,Shenseea;Tyga
22720,french,Corneille
22721,dancehall,Shenseea;Tarrus Riley;Rvssian
22722,dancehall,Shenseea;Dunw3ll
22723,french,Koba LaD;Bolémvn;Mafia Spartiate
22724,french,RIDSA
22725,french,Therapie TAXI;Roméo Elvis
22726,french,Horizon Blue;Carston
22727,dancehall,Sean Paul;Sasha;Jeremy Harding;Murray Elias
22728,french,M83;Eric Prydz
22729,french,Lartiste;Nej
22730,french,Chullo
22731,french,Luca
22732,french,Dizaro;Binkie
22733,french,Dizaro;WLZN
22734,dancehall,Juls;Sway Clarke
22735,forro,Alemão Do Forró;Robério e Seus Teclados
22736,french,Fresh
22737,french,Duñe;Crayon;Lossapardo
22738,french,François Couperin;Pierre Gallon
22739,dancehall,Juls;Tiggs Da Author;Santi
22740,french,Tiken Jah Fakoly;Nneka;Patrice
22741,dancehall,Burna Boy;Victony
22742,french,Gaëtan Roussel
22743,dancehall,Yemi Alade;Duncan Mighty
22744,french,Binks Beatz;So La Lune
22745,french,Lonely Night;Arinity;Ellou
22746,dancehall,Yemi Alade;Angelique Kidjo
22747,french,Camille Saint-Saëns;Sebastian Comberti;Miriam Keogh
22748,french,Horizon Blue;Music Travel Love
22749,french,Lonely in the Rain;Nounours
22750,dancehall,Gmiztik
22751,french,P.A.V
22752,french,Møme;Assassin's Creed
22753,french,Bleu Toucan
22754,french,Niaks;Fresh La Douille
22755,dancehall,Burna Boy;J Hus
22756,french,MPL
22757,french,B.B. Jacques
22758,french,D.ACE;Cookiesan;Zoro L'Frérot;Negrito Senpai;Ol Kainry;Volts Face
22759,french,So La Lune;Rouge Carmin
22760,french,Leto
22761,french,Kendji Girac
22762,french,SAF;Jul
22763,french,Nounours;Queen D
22764,french,Mister V
22765,french,Clio
22766,french,DJ Kayz;Mister You;Dr Zeus;Sophia Akkara
22767,french,Yael Naim
22768,french,Joe Dassin
22769,french,Cinco;Josman
22770,french,Stuck in the Sound
22771,dancehall,Wiley;Stefflon Don;Sean Paul;Idris Elba
22772,french,Stupeflip;Tanguy P
22773,french,Georges Delerue;Romain Leleu;Stuttgart Philharmonic Orchestra;Marcus Bosch
22774,french,91 All Stars;LE RISQUE;Zokush;Daks
22775,french,D.ACE;Demi Portion;Ol Kainry;Tiers;Zoro L'Frérot
22776,french,Captaine Roshi;Alpha Wann
22777,french,Feder;Kairos Grove
22778,french,Panta Ray;Leonel P;Anna-Sophia Henry
22779,french,MUNICH MONSTRS;Nick Yume
22780,french,Emrod
22781,french,Soolking;Dhurata Dora
22782,french,Thylacine
22783,french,Jako Diaz;Margret
22784,french,Miel De Montagne
22785,french,PLK;OBOY
22786,french,Moi Je
22787,french,Duñe;Crayon;Ichon
22788,french,Her
22789,french,Stupeflip;Sandrine
22790,french,Alkpote;Caballero & JeanJass
22791,french,Sofiane;Sifax
22792,french,Merzhin
22793,french,Keen' V;Dely Kate
22794,french,Caballero & JeanJass;Lomepal
22795,french,Billx;Shanti People
22796,french,Xad;Joel Stewart
22797,french,Drics
22798,french,Eneko Artola;NSH
22799,french,Liane Foly;The Pinnacle Gospel Choir
22800,french,Philippe Lafontaine
22801,french,Starshooter
22802,french,Les 3 Fromages;Les Fatals Picards
22803,dancehall,Tiwa Savage;Davido
22804,french,Emily Loizeau
22805,french,Soldat Louis
22806,french,Mister Gang
22807,french,Massilia Sound System
22808,french,Carbozo;Sasso
22809,french,100 Blaze
22810,french,100 Blaze;Lacrim
22811,french,Astonvilla
22812,french,Glorious
22813,dancehall,Afro B
22814,french,D.ACE;Dehmo
22815,french,Lesram
22816,french,Nusky
22817,french,Jok'air;Le Juiice
22818,french,KARLK;Guitk
22819,french,1995
22820,french,Camp Claude
22821,french,You Man
22822,french,Beendo Z
22823,french,Gabriel Vitel;Monolink
22824,french,GIMS;Super Sako;Hayko
22825,french,H Magnum
22826,french,Camille Saint-Saëns;Philippe Entremont;Gaby Casadesus;Yo-Yo Ma
22827,french,Stupeflip;Reverb Man
22828,french,D.ACE;Cookiesan
22829,french,Daniel Balavoine
22830,french,Bernard Lavilliers;Bonga
22831,dancehall,Wiley
22832,french,Bekar
22833,french,Les Rita Mitsouko
22834,french,Moriarty
22835,french,Youri
22836,french,Alexandre Desplat;Jean-Yves Thibaudet
22837,french,Tchoupi
22838,french,Soolking;Dadju
22839,french,Girls In Hawaii
22840,french,Zamdane
22841,french,Luca;Joel Stewart
22842,french,French 79;Kid Francescoli;Sarah Rebecca
22843,french,Jako Diaz
22844,french,Stéphane Grappelli;Joe Pass;Niels-Henning Ørsted Pedersen
22845,dancehall,Wande Coal;DJ Tunez
22846,french,NORRA
22847,french,Lvne;BIMINI
22848,french,Luca;Nokyo
22849,french,Imany;Filatov & Karas
22850,french,Luca;Nina Carr
22851,french,Trinix;Holly Henry
22852,french,Feder;Alex Aiono
22853,dancehall,SPINALL;Fireboy DML;6LACK
22854,french,Boris Way
22855,dancehall,Omah Lay;Disclosure;Justin Bieber
22856,dancehall,Stefflon Don;French Montana
22857,french,Mig;ISK
22858,french,Niska
22859,dancehall,Stefflon Don;Tory Lanez
